constellation_id,native_name,english_name,polish_name
Aql,Aquila,Eagle,Orzeł
And,Andromeda,Andromeda,Andromeda
Scl,Sculptor,Sculptor,Rzeźbiarz
Ara,Ara,Altar,Ołtarz
Lib,Libra,Scales,Waga
Cet,Cetus,Whale,Wieloryb
Ari,Aries,Ram,Baran
Sct,Scutum,Shield,Tarcza
Pyx,Pyxis,Mariner Compass,Kompas
Boo,Boötes,Boötes,Wolarz
Cae,Caelum,Engraving Tool,Rylec
Cha,Chamaeleon,Chameleon,Kameleon
Cnc,Cancer,Crab,Rak
Cap,Capricornus,Capricornus,Koziorożec
Car,Carina,Keel,Kil
Cas,Cassiopeia,Cassiopeia,Kasjopea
Cen,Centaurus,Centaur,Centaur
Cep,Cepheus,Cepheus,Cefeusz
Com,Coma Berenices,Bernice's Hair,Warkocz Bereniki
CVn,Canes Venatici,Hunting Dogs,Psy Gończe
Aur,Auriga,Charioteer,Woźnica
Col,Columba,Dove,Gołąb
Cir,Circinus,Drawing Compass,Cyrkiel
Crt,Crater,Cup,Puchar
CrA,Corona Australis,Southern Crown,Korona Południowa
CrB,Corona Borealis,Northern Crown,Korona Północna
Crv,Corvus,Crow,Kruk
Cru,Crux,Southern Cross,Krzyż Południa
Cyg,Cygnus,Swan,Łabędź
Del,Delphinus,Dolphin,Delfin
Dor,Dorado,Swordfish,Złota Ryba
Dra,Draco,Dragon,Smok
Nor,Norma,Carpenter's Square,Węgielnica
Eri,Eridanus,Eridanus,Erydan
Sge,Sagitta,Arrow,Strzała
For,Fornax,Furnace,Piec
Gem,Gemini,Twins,Bliźnięta
Cam,Camelopardalis,Giraffe,Żyrafa
CMa,Canis Major,Greater Dog,Wielki Pies
UMa,Ursa Major,Great Bear,Wielka Niedźwiedzica
Gru,Grus,Crane,Żuraw
Her,Hercules,Hercules,Herkules
Hor,Horologium,Clock,Zegar
Hya,Hydra,Water Snake,Wąż Wodny (Hydra)
Hyi,Hydrus,Lesser Water Snake,Mały Wąż Wodny
Ind,Indus,Indian,Indianin
Lac,Lacerta,Lizard,Jaszczurka
Mon,Monoceros,Unicorn,Jednorożec
Lep,Lepus,Hare,Zając
Leo,Leo,Lion,Lew
Lup,Lupus,Wolf,Wilk
Lyn,Lynx,Lynx,Ryś
Lyr,Lyra,Lyre,Lutnia
Ant,Antlia,Air Pump,Pompa
Mic,Microscopium,Microscope,Mikroskop
Mus,Musca,Fly,Mucha
Oct,Octans,Octant,Oktant
Aps,Apus,Bird of Paradise,Rajski Ptak
Oph,Ophiuchus,Serpent Bearer,Wężownik
Ori,Orion,Orion,Orion
Pav,Pavo,Peacock,Paw
Peg,Pegasus,Pegasus,Pegaz
Pic,Pictor,Painter's Easel,Malarz
Per,Perseus,Perseus,Perseusz
Equ,Equuleus,Little Horse,Źrebię
CMi,Canis Minor,Lesser Dog,Mały Pies
LMi,Leo Minor,Lesser Lion,Mały Lew
Vul,Vulpecula,Fox,Lisek
UMi,Ursa Minor,Lesser Bear,Mała Niedźwiedzica
Phe,Phoenix,Phoenix,Feniks
Psc,Pisces,Fishes,Ryby
PsA,Piscis Austrinus,Southern Fish,Ryba Południowa
Vol,Volans,Flying Fish,Latająca Ryba
Pup,Puppis,Stern,Rufa
Ret,Reticulum,Reticle,Sieć
Sgr,Sagittarius,Archer,Strzelec
Sco,Scorpius,Scorpion,Skorpion
Ser,Serpens,Serpent,Wąż
Sex,Sextans,Sextant,Sekstans
Men,Mensa,Table Mountain,Góra Stołowa
Tau,Taurus,Bull,Byk
Tel,Telescopium,Telescope,Luneta
Tuc,Tucana,Toucan,Tukan
Tri,Triangulum,Triangle,Trójkąt
TrA,Triangulum Australe,Southern Triangle,Trójkąt Południowy
Aqr,Aquarius,Water Bearer,Wodnik
Vir,Virgo,Maiden,Panna
Vel,Vela,Sails,Żagiel
