native_name,polish_name
60 Years,60 Lat
Advance Guard,Straż przednia
Air Pump,Pompa
Al Niyat,Al Niyat
Almaak,Almaak
Alnath,Alnath
Alphekka,Alphekka
Altar,Ołtarz
Al-Thurayya,Mały Brzuch
Amend Fault,Poprawiony błąd
Ancient Chariot,Wiekowy Rydwan
Andromeda,Andromeda
Antlia,Pompa
Apus,Rajski Ptak
Aquarius,Wodnik
Aquila,Orzeł
Ara,Ołtarz
Archer,Strzelec
Architect,Architekt
Aries,Baran
Arkab,Arkab
Armory,Zbrojownia
Arrow,Strzała
Arsenal,Arsenał
Asellus Borealis,Asellus Borealis
Auriga,Woźnica
Aurvandil's Toe,Palec od nogi Aurvandila
Babcock's Star,Gwiazda Babcocka
Balance of Water,Równowaga Wody
Bank Spread,Rozpiętość brzegów
Banner of Three Stars,Chorągiew Trzech Gwiazd
Basket for Silkworm,Kosz dla Jedwabnika
Beacon,Latarnia
Beheading,Ścięcie głowy
Belvedere of Sky,Belweder Nieba
Bernice's Hair,Warkocz Bereniki
Bessel's Star,Gwiazda Bessela
Bird of Paradise,Rajski Ptak
Blubber Container,Zbiornik na łzy
Boat,Łódź
Bond,Wiązanie
Bootes,Wolarz
Boötes,Wolarz
Bow,Łuk
Breastbone,Mostek
Broken Mortar,Rozbity Moździerz
Build,Budowa
Bull,Byk
Bull's Foreleg,Przednia noga byka
Butchery,Masakra
Caelum,Rylec
Camelopardalis,Żyrafa
Campbell's Star,Gwiazda Campbella
Cancer,Rak
Canes Venatici,Psy Gończe
Canis Major,Wielki Pies
Canis Minor,Mały Pies
Capital of Sky,Stolica nieba
Capricornus,Koziorożec
Cared for by Moon,Otoczony ochroną przez Księżyc
Caribou,Karibu
Carina,Kil
Carpenter's Square,Węgielnica
Carriage for King,Królewski powóz
Cassiopeia,Kasjopea
Castle with Rampart,Zamek z Szańcem
Cavalry of Emperor,Cesarska kawaleria
Centaur,Centaur
Centaurus,Centaur
Cepheus,Cefeusz
Cereal Measure Regulation,Regulacja miary zboża
Cetus,Wieloryb
Chaff,Sieczka
Chamaeleon,Kameleon
Chamberlain,Szambelan
Chameleon,Kameleon
Chariot,Rydwan
Chariot of Emperor,Rydwan cesarza
Charioteer,Woźnica
Chematy,Chematy
Chief of Farming,Szef gospodarowania
Circinus,Cyrkiel
Civil Engineer,Inżynier budownictwa wodnego i lądowego
Climbing Serpent,Wspinający się Wąż
Clock,Zegar
Clouds and Rain,Chmury i Deszcz
Coiled Thong,Zwinięty Rzemyk
Collarbones,Obojczyki
Columba,Gołąb
Coma Berenices,Warkocz Bereniki
Conspiracy of Sky,Zmowa Nieba
Corona Australis,Korona Południowa
Corona Borealis,Korona Północna
Corvus,Kruk
Court Lady,Sądowa Pani
Cover for Emperor,Ukrycie dla Cesarza
Cover of House,Ochrona Domu
Cow leading Man,Mężczyzna prowadzący krowę
Crab,Rak
Crane,Żuraw
Crater,Puchar
Crocodile,Krokodyl
Crossbeam for Heo,Poprzeczka dla Heo
Crow,Kruk
Crown Prince,Następca tronu
Crux,Krzyż Południa
Cup,Puchar
Curved Array,Zakrzywiona Matryca
Cygnus,Łabędź
Dawn,Świt
Day,Dzień
Day Star,Gwiazda dzienna
Delphinus,Delfin
Desk of Woman,Biurko Kobiety
Detached Palace,Wolnostojący pałac
Dignity of King,Godność króla
Dilyehe,Dilyehe
Dipper,Wielka Niedźwiedzica (Wielki Wóz)
Dog,Pies
Dog of Sky,Pies Nieba
Dogs,Psy
Dolphin,Delfin
Door Lock and Key,Zamek Drzwiowy i Klucz
Dorado,Złota Ryba
Dove,Gołąb
Draco,Smok
Dragon,Smok
Drawing Compass,Cyrkiel
Drum of River,Rzeczna chałupa
Drumstick of Sky,Pałeczka Nieba
Dung of Tiger,Obora Tygrysa
Eagle,Orzeł
Earth,Ziemia
East Road,Wschodnia Droga
Eastern Door,Wschodnie Wrota
Eastern Pottery,Wschodnia ceramika
Eastern Wall,Wschodni Mur
Eastern Well,Wschodnia studnia
Eight Cereals,Osiem Zbóż
Elk,Łoś
Embrace,Uścisk
Emperator,Władca
Emperor HeonWon,Cesarz HeonWon
Emperor's God of War,Cesarski Bóg Wojny
Emperor's God of Weather,Cesarski Bóg Pogody
Emptiness,Pustka
Empty House,Pusty Dom
Encampment,Obóz
Engraving Tool,Rylec
Equality,Równość
Equality and Fair,Równość i Sprawiedliwośc
Equuleus,Źrebię
Eridanus,Erydan
Establishment,Założenie
Eta Carinae Nebula,Mgławica Eta Carinae
Etamin,Etamin
Eunuch,Eunuch
Expeditionary Force,Oddział Ekspedycyjny
Extended Net,Wydłużona Siatka
Eye of Sky,Oko Nieba
Farm of Capital City,Farma Stolicy
Favdna,Favdna
Favdna's Bow and Arrow,Łuk i strzała Favdny
Female Officer,Kobiecy Oficer
Ferry Boat,Prom
Ferry of Sky,Prom Nieba
Feudal Lord,Władca feudalny
First Big One,Perwszy Wielki Ktoś
First Slim One,Pierwszy Szczupły Ktoś
Fish,Ryba
Fishes,Ryby
Five Chariots,Pięć rydwanów
Five Emperor,Pięciu cesarzy
Five Feudal Lords,Pięciu panów feudalnych
Five Lords,Pięciu Panów
Five Troops,Pięć Wojsk
Flag of Emperor,Flaga Cesarza
Flag of Wine Officer,Flaga bordowego oficera
Flage of Saam,Flaga Saama
Flap of Flag,Trzepocząca Flaga
Flickering,Migotanie
Flock,Gromada
Flood control,Ochrona przeciwpowodziowa
Flutting Flag,Trzepocząca Flaga
Fly,Mucha
Flying Corridor,Korytarz powietrzny
Flying Fish,Latająca Ryba
Fodder,Pasza
Folding Screen,Składana zasłona
Forcast,Prognoza
Fornax,Piec
Four Channels,Cztery kanały
Four Spirit of River,Cztery Duchy Rzeki
Fowl of Sky,Ptactwo Nieba
Fox,Lisek
Fruit,Owoc
Furnace,Piec
Galla,Galla
Galla's Sons,Synowie Galli
Garage for Chariot,Garaż dla Rydwanu
Garden of Sky,Ogród Nieba
Gate Bolt,Rygiel bramy
Gate of Sky,Brama Nieba
Gateway for Troops,Brama dla Wojska
Gateway of Sky,Brama Nieba
Gemini,Bliźnięta
General,Ogólne
General and Minister,Generał i Minister
General of Border,Generał Granicy
General of Cavalry,Generał Kawalerii
General of Mobile Troops,Generał Ruchomych wojsk
Ghosts,Duchy
Giant,Gigant
Giraffe,Żyrafa
Girl,Dziewczyna
Girtab,Girtab
Good Gourd,Tykwa
Grandchildren,Wnuki
Grant Life,Darowizna Życia
Grave Front,Grób Frontu
Great Bear,Wielka Niedźwiedzica
Great Emperor,Wielki Cesarz
Great General,Wielki Generał
Greater Dog,Wielki Pies
Green Ridge,Zielony grzbiet
Groom,Pan młody
Grown-up,Dorosły
Grus,Żuraw
Guardian Knight,Stróżujący Rycerz
Guide Star,Gwiazda przewodnia
Hare,Zając
Head of Family,Głowa rodziny
Head of Town,Burmistrz
Heap of Corpse,Sterta ciał
Heart,Serce
Helper,Pomocnik
Hercules,Herkules
Highway,Gościniec
Hill of Sky,Wzgórze Nieba
Hippopotamus,Hipopotam
Holy Kettle,Święty kocioł
Holy Palace,Święty Pałac
Homan,Homan
Hook for Dress,Haczyk na sukienkę
Horn,Róg
Horologium,Zegar
Horus,Horus
House of Queen,Dom Królowej
Human,Człowiek
Hunting Dogs,Psy Gończe
Hydra,Wąż Wodny (Hydra)
Hydrus,Mały Wąż Wodny
Imperial Guards,Straż imperialna
Imperial Passageway,Cesarski Korytarz
Indian,Indianin
Indus,Indianin
Inner Kitchen,Wewnętrzna Kuchnia
Inner Pestle,Wewnętrzny Tłuczek
Inner Stairway,Wewnętrzne Schody
Innes' Star,Gwiazda Innesa
Jade Well,Nefrytowe Źródło
Jail of Sky,Więzienie Nieba
Javelin of Sky,Oszczep Nieba
Jaw,Szczęka
Judge,Sędzia
Judge Fault,Błąd sędziego
Judge Prison,Sędzia Więzienia
Jupiter,Jowisz
Kapteyn's Star,Gwiazda Kapteyna
Keel,Kil
Kenemet,Kenemet
Khanuwy Fish,Ryba Khanuwy
Kings,Królowie
Kitchen of Sky,Kuchnia Nieba
Kite of Kawelo,Latawiec Kawelo
Kocab,Kochab
Kruger 60,Kruger 60
Lacerta,Jaszczurka
Lamp Stand,Świecznik
Left Elm,Lewy Wiąz
Left Executor,Lewy egzekutor
Left Flag,Lewa Flaga
Legs,Nogi
Leo,Lew
Leo Minor,Mały Lew
Lepus,Zając
Lesser Bear,Mała Niedźwiedzica
Lesser Dog,Mały Pies
Lesser Lion,Mały Lew
Lesser Water Snake,Mały Wąż Wodny
Libra,Waga
Lightening,Odciążenie
Lion,Lew
Little Horse,Źrebię
Lizard,Jaszczurka
Lord,Władca
Low Fence,Niskie Ogrodzenie
Lupus,Wilk
Luyten's Star,Gwiazda Luytena
Lynx,Ryś
Lyra,Lutnia
Lyre,Lutnia
Maid,Panna
Maiden,Panna
Mali,Mali
Man with Feet Apart,Mężczyzna z oddzielonymi stopami
Man's Cart,Wózek Mężczyzny
Mariner Compass,Kompas
Market Fence,Ogrodzenie rynkowe
Market for Army,Targ dla wojska
Market Officer,Urzędnik rynkowy
Mars,Mars
Matakarehu,Matakarehu
Mausoleum,Mauzoleum
Measure Amount,Miara Ilości
Measure Cereal,Miara Zboża
Mensa,Góra Stołowa
Mercury,Merkury
Microscope,Mikroskop
Microscopium,Mikroskop
Milk of Sky,Mleko Nieba
Milky Way,Droga Mleczna
Minister,Minister
Mirphak,Mirfak
Monoceros,Jednorożec
Moon,Księżyc
Mooring Post,Pal do cumowania
Morning Star,Gwiazda Poranna
Mortar,Moździerz
Musca,Mucha
Name of a Murdered Man,Imię zamordowanego
Navigator's Triangle,Trójkąt Letni
Neck,Szyja
Neck of Dragon,Szyja Smoka
Nephews,Siostrzeńcy
Neptune,Neptun
Net,Sieć
Net of Sky,Sieć Nieba
Never Moves,Nie porusza się
Nine Lords,Dziewięciu Władców
Nine Territory,Dziewiąte Terytorium
Nomination,Powołanie
Norma,Węgielnica
North Pole,Biegun Północny
North River,Rzeka północna
Northeastern Nations,Północnowschodnie Narody
Northern Crown,Korona Północna
Northern Dipper,Mała Niedźwiedzica (Mały Wóz)
Northern River,Północna Rzeka
Oar for visitor,Wiosło dla odwiedzających
Observatory,Obserwatorium
Octans,Oktant
Octant,Oktant
Officer for Audience,Urzędnik dla Publiczności
Officer for Cart,Urzędnik dla Wozu
Officer for Chariots,Urzędnik dla Rydwanów
Officer for Family,Urzędnik dla Rodziny
Officer for Jewel,Urzędnik dla Klejnotu
Officer for Opinion,Urzędnik dla Opinii
Officer of Kitchen,Oficer kuchni
Officer of Tomb,Urzędnik Grobowca
Old Farmer,Stary Farmer
Old Man,Starzec
Oldman,Starzec
Ophiuchus,Wężownik
Order of Sky,Porządek Nieba
Orion,Orion
Orion's Sword,Miecz Oriona
Outer Fence,Płot Zewnętrzny
Outer Folding Screen,Zewnętrzny Składany Parawan
Outer Kitchen,Zewnętrzna kuchnia
Outer Pestle,Zewnętrzny Tłuczek
Ox,Wół
Pack of Dogs,Psia sfora
Painter's Easel,Malarz
Pair of Stars,Para gwiazd
Palace Gate,Wrota Pałacu
Palace of Emperor,Pałac Cesarza
Pavo,Paw
Peacock,Paw
Pegasus,Pegaz
Penalty,Kara
Perseus,Perseusz
Pestle,Tłuczek
Phad,Phad
Phoenix,Feniks
Pictor,Malarz
Pile of Dead,Stos Zmarłych
Piled Brushwood,Stos Chrustu
Pillar,Kolumna
Pillar of Sky,Filar Nieba
Pisces,Ryby
Piscis Austrinus,Ryba Południowa
Place for Five Emperor,Miejsce dla pięciu cesarzy
Pluto,Pluton
Pond for Fish,Staw rybny
Position of Holy King,Stanowisko Świętego króla
Prayer for Progeny,Modlitwa dla potomstwa
Prow,Kil
Proxima,Proxima
Przybylski's Star,Gwiazda Przybylskiego
Puddle of Sky,Kałuża Nieba
Punish,Karać
Puppis,Rufa
Purple Fence,Fioletowe Ogrodzenie
Pyxis,Kompas
Rabbit Tracks,Ślady Królika
Ram,Baran
Rampart,Szaniec
Record of Family,Zapisy Rodziny
Red,Czerwony
Red Rectangle,Czerwony Czworokąt
Regor,Regor
Reticle,Sieć
Reticulum,Sieć
Revolving Female,Rozważna Kobieta
Revolving Male,Rozważny Mężczyzna
Right Elm,Prawy Wiąz
Right Executor,Prawy egzekutor
Right Flag,Prawa Flaga
Rigil Kent,Rigil Kent
River adjoining Tower,Rzeka płynąca przy wieży
River of Sky,Rzeka Nieba
River Turtle,Żółw rzeczny
Road for Emperor,Droga Ceszarza
Rolled Tongue,Zwinięty Język
Rooftop,Dach
Room,Pokój
Root,Korzeń
Royal,Królewski
Royal Family,Rodzina królewska
Royal Hall,Sala królewska
Runners,Biegacze
Saam,Saam
Sagitta,Strzała
Sagittarius,Strzelec
Sah,Sah
Sails,Żagiel
Sand for Life,Piach dla Życia
SangJiin,SangJiin
Sarva the Elk,Łoś Sarva
Saturn,Saturn
Scales,Waga
Scorpion,Skorpion
Scorpius,Skorpion
Scout of Three Troups,Zwiadowca Trzech Zespołów
Screen,Ekran
Sculptor,Rzeźbiarz
Scutum,Tarcza
Seat for Emperor,Miejsce dla Cesarza
Seat for Longevity,Miejsce dla Długowieczności
Seat of Emperor,Tron Cesarza
Secretary,Sekretarz
Seed,Ziarno
Sek,Sek
Selkis,Selkis
Serpens,Wąż
Serpent,Wąż
Serpent Bearer,Wężownik
Settled Flag,Usadowiona Flaga
Seven Excellencies,Siedem Znakomitości
Seven Minister,Siódmy Minister
Sextans,Sekstans
Sextant,Sekstans
Shaman of Sky,Szaman Nieba
Shedir,Szedar
Sheep,Owca
Sheepfold,Owczarnia
Shield,Tarcza
Ship of Sky,Podniebny statek
Side Road,Boczna Droga
Single-log Bridge,Jedno kłodowy most
Six Department,Szósty departament
Sky Support,Podpora nieba
Snapping Turtle,Szczękający Żółw
Sob,Szloch
Son,Syn
South River,Rzeka południowa
South Star,Gwiazda Biegunu Południowego
Southern Cross,Krzyż Południa
Southern Crown,Korona Południowa
Southern Fish,Ryba Południowa
Southern Gate of Emperator,Południowa Brama Władcy
Southern River,Południowa Rezeka
Southern Triangle,Trójkąt Południowy
Spear of Sky,Dzida Nieba
Spirit of a Polar Bear,Duch Niedźwiedzia Polarnego
Spirit of GuRyoung,Duch GuRyong'a
Stable of Sky,Stajnia Nieba
Stack of Cereals,Stos Zboż
Star,Gwiazda
Star of Wolf,Gwiazda Wilka
Stars of Water,Gwiazdy Wody
Stern,Rufa
Stomach,Brzuch
Stomach of Tiger,Żołądek Tygrysa
Storage for Lady,Skład dla Pani
Store of Water,Zapas Wody
Storehouse for Cereals,Skład zboża
Storehouse of Sky,Magazyn Nieba
Suhayl,Suchyal
Sun,Słońce
Swan,Łabędź
Swordfish,Złota Ryba
Table Mountain,Góra Stołowa
Tail,Ogon
Taki-o-Autahi,Taki-o-Autahi
Tall Fence,Wysolie Ogrodzenie
Taurus,Byk
Tau-toro,Tau-toro
Te Taura-o-te-waka-o-tamarereti,Te Taura-o-te-waka-o-tamarereti
Telescope,Luneta
Telescopium,Luneta
The Archer,Łucznik
The Arm,Ramię
The Arrow,Strzała
The Asar Battlefield,Pole Bitwy Asar
The Bend,Zgięcie
The Bull,Byk
The Caracal,Karakal
The Dragon,Smok
The Elbow,Łokieć
The Fishermen,Rybacy
The flying eagle,Lecący orzeł
The Follower,Zwolennik
The Garnet Star,Gwiazda Granat
The Great Boat of Tama Rereti,Wielka łódź Tamy Rereti
The Heart,Serce
The Kid,Dzieciak
The Knights 1,Rycerze
The Knights 2,Rycerze 2
The Knights 3,Rycerze 3
The Knights 4,Rycerze 4
The Knights 5,Rycerze 5
The Leader,Przywódca
The Lion,Lew
The Little Orphan Boy,Mała Sierota
The Male Hyena,Samiec Hieny
The Northern Shi'ra,Północna Shi'ra
The Old Man,Stary Człowiek
The Ostriches,Strusie
The Ram,Baran
The Raven,Kruk
The River,Rzeka
The Runner,Biegacz
The Sail of Tainui,Żeglowanie Tainui
The Scorpion,Skorpion
The second frog,Druga żaba
The Seven,Siedem
The Ski Runners,Biegacze narciarscy
The Snake,Wąż
The Southern Shi'ra,Południowa Shi'ra
The Spear,Dzida
The Star Cluster,Gromada gwiazd Siedmiu Bogów
The Seven Gods,Gromada gwiazd Siedmiu Bogów
The third leap,Trzeci skok
The Trotting Camel,Kłusujący Wielbłąd
The Twins,Bliźnięta
The Weaver,Tkacz
The Whale,Wieloryb
Thread Straw,Słomkowa Nić
Threading Coins,Nawlekanie Monet
Three Minister,Trzech ministrów
Three Ministers,Trzech ministrów
Three Stars,Trzy gwiazdy
Three Steps,Trzy Kroki
Thunderbolt,Piorun
Thunderbolts,Błyskawice
Toilet,Toaleta
Toilet of Sky,Toaleta Nieba
Tomb,Grobowiec
Tomb of Sky,Grobowiec Niebios
Toucan,Tukan
Tower in Market,Wieża na Rynku
Triangle,Trójkąt
Triangulum,Trójkąt
Triangulum Australe,Trójkąt Południowy
Troops of Sky,Wojsko Nieba
Tucana,Tukan
Twin Gate,Bliźniacza Brama
Twins,Bliźnięta
Two in Front,Dwóch na przodzie
Two Jaws,Dwie Szczęki
Two Placed Far Apart,Dwa położone z dala od siebie
Two Poles,Dwa bieguny
Two Sunbeams,Dwa Promienie
Unicorn,Jednorożec
Uranus,Uran
Ursa Major,Wielka Niedźwiedzica
Ursa Minor,Mała Niedźwiedzica
Van Maanen 2,Gwiazda van Maanena
Vela,Żagiel
Venus,Wenus
Village for Patrol,Wieś dla Patrolu
Village of Sky,Wioska Nieba
Virgo,Panna
Virtue,Cnota
Voice of Joy,Głos Szczęścia
Volans,Latająca Ryba
Vulpecula,Lisek
W,W
Wall,Mur
Warehouse of Sky,Magazyn Nieba
Watchtower,Strażnica
Water Bearer,Wodnik
Water Snake,Wąż Wodny (Hydra)
Waty Bekety,Waty Bekety
Weaving Girl,Tkaczka
Weep,Płacz
Well,Studnia
Well of Jade,Nefrytowa studnia
West Road,Zachodnia Droga
Western Door,Zachodnie Wrota
Whale,Wieloryb
Whetstone,Osełka
Whip,Bat
Wide Lodging Area,Obszerny Obszar Mieszkania
Wild Fowls,Dzikie ptactwo
Willow,Wierzba
Wine Glass of Sky,Kielich Nieba
Wing of Red Bird,Skrzydło czerwonego ptaka
Wings,Skrzydła
Winnow,Przesiewać
Winnowing Basket,Kosz Siewny
Wolf,Wilk
Wolf's Mouth,Pysk Wilka
Woman's Bed,Łóżko Kobiety
Woman's Cart,Wózek Kobiety
Wound Lodge,Tkwiąca rana
Xuanyuan,Xuanyuan
Yard for Empresses,Dziedziniec dla Cesarzowych
Zaofu,Zaofu
